base_text,latitude,longitude,month,Canx,aircraft
EIELSON AFB,64.665667,-147.1015,3,0.0141129032258064,global-Hawk
EIELSON AFB,64.665667,-147.1015,4,0.0020833333333333,global-Hawk
EIELSON AFB,64.665667,-147.1015,5,0.0040485829959514,global-Hawk
EIELSON AFB,64.665667,-147.1015,6,0.025,global-Hawk
EIELSON AFB,64.665667,-147.1015,7,0.0263691683569979,global-Hawk
EIELSON AFB,64.665667,-147.1015,8,0.0222222222222222,global-Hawk
EIELSON AFB,64.665667,-147.1015,9,0.022964509394572,global-Hawk
EIELSON AFB,64.665667,-147.1015,10,0.0544354838709677,global-Hawk
EIELSON AFB,64.665667,-147.1015,11,0.0313152400835073,global-Hawk
EIELSON AFB,64.665667,-147.1015,12,0.0587044534412955,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,1,0.2412371134020618,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,2,0.2194570135746606,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,3,0.2028688524590164,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,4,0.2781316348195329,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,5,0.2085889570552147,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,6,0.1305263157894736,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,7,0.0614754098360655,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,8,0.0806451612903225,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,9,0.1837160751565762,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,10,0.2434077079107505,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,11,0.1958333333333333,global-Hawk
ELLSWORTH AFB,44.15097,-103.09488,12,0.2408163265306122,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,1,0.1834677419354838,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,2,0.1485587583148558,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,3,0.1171717171717171,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,4,0.0690376569037656,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,5,0.0362903225806451,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,6,0.0104166666666666,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,7,0.0161290322580645,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,8,0.0727272727272727,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,9,0.054968287526427,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,10,0.0604838709677419,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,11,0.1085594989561586,global-Hawk
FAIRCHILD AFB,47.615,-117.65556,12,0.1310483870967742,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,1,0.2105263157894736,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,2,0.1977777777777777,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,3,0.1713709677419354,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,4,0.1377870563674321,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,5,0.1108870967741935,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,6,0.0521920668058455,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,7,0.0564516129032258,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,8,0.0443548387096774,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,9,0.0709812108559499,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,10,0.0967741935483871,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,11,0.1291759465478842,global-Hawk
GRAND FORKS AFB,47.96111,-97.40111,12,0.1552419354838709,global-Hawk
HANSCOM AFB,42.469953,-71.289031,1,0.103030303030303,global-Hawk
HANSCOM AFB,42.469953,-71.289031,2,0.0798226164079822,global-Hawk
HANSCOM AFB,42.469953,-71.289031,3,0.0866935483870967,global-Hawk
HANSCOM AFB,42.469953,-71.289031,4,0.10625,global-Hawk
HANSCOM AFB,42.469953,-71.289031,5,0.0766129032258064,global-Hawk
HANSCOM AFB,42.469953,-71.289031,6,0.1,global-Hawk
HANSCOM AFB,42.469953,-71.289031,7,0.1008064516129032,global-Hawk
HANSCOM AFB,42.469953,-71.289031,8,0.0585858585858585,global-Hawk
HANSCOM AFB,42.469953,-71.289031,9,0.0793319415448851,global-Hawk
HANSCOM AFB,42.469953,-71.289031,10,0.1008064516129032,global-Hawk
HANSCOM AFB,42.469953,-71.289031,11,0.08125,global-Hawk
HANSCOM AFB,42.469953,-71.289031,12,0.1108870967741935,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,1,0.002016129032258,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,2,0.0,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,3,0.0,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,4,0.0,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,5,0.0060483870967741,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,6,0.0041666666666666,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,7,0.0,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,8,0.002016129032258,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,9,0.0,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,10,0.002016129032258,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,11,0.0,global-Hawk
HICKAM AFB,21.3166666,-157.9166666,12,0.002016129032258,global-Hawk
HILL AFB,41.13211,-111.993982,1,0.1825557809330628,global-Hawk
HILL AFB,41.13211,-111.993982,2,0.1685144124168514,global-Hawk
HILL AFB,41.13211,-111.993982,3,0.1131313131313131,global-Hawk
HILL AFB,41.13211,-111.993982,4,0.1192468619246862,global-Hawk
HILL AFB,41.13211,-111.993982,5,0.1149193548387096,global-Hawk
HILL AFB,41.13211,-111.993982,6,0.1711899791231732,global-Hawk
HILL AFB,41.13211,-111.993982,7,0.1552419354838709,global-Hawk
HILL AFB,41.13211,-111.993982,8,0.1818181818181818,global-Hawk
HILL AFB,41.13211,-111.993982,9,0.2631578947368421,global-Hawk
